,bmad_name,device_name,ele_key,s_position,x_position,y_position,z_position,theta_position,phi_position,psi_position
109,DE03B,,Drift,11.787145190867,3.69033728894323,0.0,2027.56375070868,-0.610865238198015,0.0,0.0
110,XC07,XCOR:IN20:521,Hkicker,11.787145190867,3.69033728894323,0.0,2027.56375070868,-0.610865238198015,0.0,0.0
111,YC07,YCOR:IN20:522,Vkicker,11.787145190867,3.69033728894323,0.0,2027.56375070868,-0.610865238198015,0.0,0.0
112,DE03C,,Drift,11.923644190867,3.61204467895775,0.0,2027.67556414357,-0.610865238198015,0.0,0.0
113,QE04,QUAD:IN20:525,Quadrupole,12.031644190867,3.55009842383183,0.0,2027.76403256435,-0.610865238198015,0.0,0.0
114,BPM9,BPMS:IN20:525,Monitor,11.977644190867,3.58107155139479,0.0,2027.71979835396,-0.610865238198015,0.0,0.0
115,DE04,,Drift,12.175332190867,3.46768237284542,0.0,2027.88173488329,-0.610865238198015,0.0,0.0
116,WS01,WIRE:IN20:531,Marker,12.175332190867,3.46768237284542,0.0,2027.88173488329,-0.610865238198015,0.0,0.0
117,OTR1,OTRS:IN20:541,Monitor,12.327300190867,3.38051710896603,0.0,2028.00621978116,-0.610865238198015,0.0,0.0
118,DE05C,,Drift,12.431770190867,3.32059557866043,0.0,2028.09179659523,-0.610865238198015,0.0,0.0
119,VV03,,Marker,12.431770190867,3.32059557866043,0.0,2028.09179659523,-0.610865238198015,0.0,0.0
120,DE06A,,Drift,13.841258790867,2.51214613039501,0.0,2029.24638206332,-0.610865238198015,0.0,0.0
121,RST1,STPR:IN20:551,Instrument,13.841258790867,2.51214613039501,0.0,2029.24638206332,-0.610865238198015,0.0,0.0
122,DE06B,,Drift,14.089061190867,2.37001251288377,0.0,2029.44936990586,-0.610865238198015,0.0,0.0
123,WS02,WIRE:IN20:561,Marker,14.089061190867,2.37001251288377,0.0,2029.44936990586,-0.610865238198015,0.0,0.0
124,MRK0,,Marker,14.165045190867,2.32642988094408,0.0,2029.51161235479,-0.610865238198015,0.0,0.0
125,OTR2,OTRS:IN20:571,Monitor,14.241029190867,2.28284724900438,0.0,2029.57385480373,-0.610865238198015,0.0,0.0
126,DE06D,,Drift,14.404859890867,2.18887781993348,0.0,2029.70805705655,-0.610865238198015,0.0,0.0
127,BPM10,BPMS:IN20:581,Monitor,14.404859890867,2.18887781993348,0.0,2029.70805705655,-0.610865238198015,0.0,0.0
128,DE06E,,Drift,16.002790190867,1.27234265292212,0.0,2031.01700492842,-0.610865238198015,0.0,0.0
129,WS03,WIRE:IN20:611,Marker,16.002790190867,1.27234265292212,0.0,2031.01700492842,-0.610865238198015,0.0,0.0
130,OTR3,OTRS:IN20:621,Monitor,16.154758190867,1.18517738904273,0.0,2031.14148982629,-0.610865238198015,0.0,0.0
131,DE07,,Drift,16.305563890867,1.0986787930553,0.0,2031.26502262374,-0.610865238198015,0.0,0.0
132,QM01,QUAD:IN20:631,Quadrupole,16.413563890867,1.03673253792939,0.0,2031.35349104452,-0.610865238198015,0.0,0.0
133,BPM11,BPMS:IN20:631,Monitor,16.359563890867,1.06770566549235,0.0,2031.30925683413,-0.610865238198015,0.0,0.0
134,DE08,,Drift,16.561435990867,0.951916585775643,0.0,2031.47462077753,-0.610865238198015,0.0,0.0
135,XC08,XCOR:IN20:641,Hkicker,16.561435990867,0.951916585775643,0.0,2031.47462077753,-0.610865238198015,0.0,0.0
136,YC08,YCOR:IN20:642,Vkicker,16.561435990867,0.951916585775643,0.0,2031.47462077753,-0.610865238198015,0.0,0.0
137,DE08A,,Drift,16.744765990867,0.846762817699406,0.0,2031.62479592181,-0.610865238198015,0.0,0.0
138,VV04,,Marker,16.744765990867,0.846762817699406,0.0,2031.62479592181,-0.610865238198015,0.0,0.0
139,DE08B,,Drift,16.861385990867,0.779872333692147,0.0,2031.72032543321,-0.610865238198015,0.0,0.0
140,QM02,QUAD:IN20:651,Quadrupole,16.969385990867,0.717926078566234,0.0,2031.80879385399,-0.610865238198015,0.0,0.0
141,BPM12,BPMS:IN20:651,Monitor,16.9153859908671,0.74889920612919,0.0,2031.7645596436,-0.610865238198015,0.0,0.0
142,DE09,,Drift,17.192835990867,0.589760423863593,0.0,2031.99183337829,-0.610865238198015,0.0,0.0
